prop,nombre,precio
Villa_Lujo_5,Casaquinta de alta capacidad en Tarija,450.0
Villa_Urubo_1,Villa premium en Urubo,420.0
Villa_Lujo_3,Residencia premium en La Paz,350.0
Villa_Tiquipaya_1,Quinta con jardin en Tiquipaya,320.0
Villa_Lujo_1,Casaquinta para eventos en Santa Cruz,300.0
Villa_SanRoque_1,Casaquinta en San Roque,290.0
Villa_Lujo_2,Quinta familiar en Cochabamba,280.0
Villa_Achumani_1,Residencia con vistas en Achumani,260.0
Villa_CentroSucre_1,Casona privada para eventos en Sucre,240.0
Villa_Lujo_4,Villa moderna con piscina en Santa Cruz,200.0
