prop,nombre
Hab_Compartida_4,Cama en condominio compartido de Equipetrol
Casa_Urbana_3,Casa con piscina en zona norte de Santa Cruz
Casa_Tiquipaya_1,Casa de descanso en Tiquipaya
Casa_Urubo_1,Casa moderna en Urubo
Villa_SanRoque_1,Casaquinta en San Roque
Villa_Lujo_1,Casaquinta para eventos en Santa Cruz
Apto_Centro_3,Departamento con piscina en Equipetrol
Hab_Privada_4,Habitacion privada en condominio de Equipetrol
Apto_Urubo_1,Loft con piscina en Urubo
Villa_Tiquipaya_1,Quinta con jardin en Tiquipaya
Villa_Lujo_2,Quinta familiar en Cochabamba
Hab_Privada_Urubo_1,Suite privada en Urubo
Villa_Lujo_4,Villa moderna con piscina en Santa Cruz
Villa_Urubo_1,Villa premium en Urubo
